	(1)	(2)	(3)	(4)	(5)	(6)
VARIABLES	TFPS17	TFPS17	ATE	POmean	ATE	POmean
						
r1vs0.FDI2016	0.130***	0.118***	0.122***		0.292***	
	(0.015)	(0.012)	(0.007)		(0.006)	
0.FDI2016				-0.068***		3.540***
				(0.010)		(0.020)
						
Observations	11,323	11,318	11,323	11,323	11,323	11,323
Standard errors in parentheses						
*** p<0.01, ** p<0.05, * p<0.1						
