	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)
VARIABLES	TFPS17	TFPS17	TFPS17	TFPS17	TFPS17	TFPS17	TFPS17	TFPS17
								
r1vs0.FDI2016	0.152***	0.127***	0.125***	0.127***	0.160***	0.086***	0.172***	0.180***
	(0.016)	(0.015)	(0.019)	(0.017)	(0.020)	(0.028)	(0.019)	(0.054)
								
Observations	11,323	11,321	11,323	11,323	4,194	1,685	3,539	1,905
Standard errors in parentheses								
*** p<0.01, ** p<0.05, * p<0.1								
